locale,date,dateid,x,y,weight,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,528.60498,85.281693,83.577187,1.5655634,.52832043,-1.7045128,3.2700763
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,548.95587,86.222069,84.517555,-.32093781,.60540754,-1.7045128,1.3835751
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,548.92548,84.809036,83.104523,.96334124,.60197788,-1.7045128,2.6678541
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,520.89008,81.867386,80.162872,5.2619243,.60626405,-1.7045128,6.9664369
"Abilene, TX",May 2002,May 2002_0,10348,67,572.16638,79.837662,78.133148,-3.681046,.64783829,-1.7045128,-1.9765332
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,579.64618,77.409859,75.705345,-.69525355,.75016701,-1.7045128,1.0092593
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,534.13538,80.42498,78.720467,-.42017129,.85797226,-1.7045128,1.2843416
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,525.43622,86.970886,85.266373,-7.7747741,3.985327,-1.7045128,-6.070261
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,512.62921,80.833519,79.129005,-1.8031341,1.2948294,-1.7045128,-.098621137
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,525.93671,78.737076,77.032562,-.1044673,.55685157,-1.7045128,1.6000456
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,516.10907,80.511421,78.806908,-1.6895474,.74549222,-1.7045128,.014965512
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,535.13232,83.115074,81.410561,-4.7951393,.54936415,-1.7045128,-3.0906265
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,530.4267,82.562302,80.857788,-3.1511896,.5971477,-1.7045128,-1.4466766
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,545.99017,81.113037,79.408524,-1.9547641,.58575147,-1.7045128,-.25025117
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,577.75549,80.680725,78.976212,-3.3846567,.65061736,-1.7045128,-1.6801438
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,572.50378,82.974586,81.270073,-4.4903517,.57718855,-1.7045128,-2.7858386
"Abilene, TX",May 2003,May 2003_0,10959,67,566.08368,84.404381,82.699867,-6.2889109,.54131073,-1.7045128,-4.5843983
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,541.15887,86.021637,84.317123,-4.8928003,.59946138,-1.7045128,-3.1882873
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,543.71307,89.313484,87.608971,-5.5566673,1.2194414,-1.7045128,-3.8521545
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,534.26532,91.203026,89.498512,-6.458653,.65138656,-1.7045128,-4.7541399
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,532.42578,95.40374,93.699226,-5.0205798,.58510399,-1.7045128,-3.3160667
"Abilene, TX",Oct 2003,Oct 2003_0,10964,67,522.8255,97.822853,96.11834,-5.7613435,.58827466,-1.7045128,-4.0568304
"Abilene, TX",Nov 2003,Nov 2003_0,10965,67,508.36661,97.640282,95.935768,-5.1560173,.52192622,-1.7045128,-3.4515045
"Abilene, TX",Dec 2003,Dec 2003_0,10966,67,512.82031,98.941223,97.23671,-.61862743,.69417787,-1.7045128,1.0858854
"Abilene, TX",Jan 2004,Jan 2004_0,11564,67,525.43347,92.622459,90.917946,-.85820448,.4599897,-1.7045128,.84630835
"Abilene, TX",Feb 2004,Feb 2004_0,11565,67,509.6442,92.692146,90.98764,1.1803705,.65242976,-1.7045128,2.8848834
"Abilene, TX",Mar 2004,Mar 2004_0,11566,67,511.68979,99.846252,98.141739,.19472589,1.3680195,-1.7045128,1.8992388
"Abilene, TX",Apr 2004,Apr 2004_0,11567,67,529.84161,100.28767,98.583153,-.5660907,.58669597,-1.7045128,1.1384221
"Abilene, TX",May 2004,May 2004_0,11568,67,547.76349,104.25775,102.55325,-3.7227132,.57307845,-1.7045128,-2.0182004
"Abilene, TX",Jun 2004,Jun 2004_0,11569,67,535.21948,110.58788,108.88336,-4.3146448,.64910632,-1.7045128,-2.6101317
"Abilene, TX",Jul 2004,Jul 2004_0,11570,67,553.21808,113.53252,111.82801,-.74981463,.72202694,-1.7045128,.95469826
"Abilene, TX",Aug 2004,Aug 2004_0,11571,67,515.44928,115.6513,113.94678,.43867344,.85331446,-1.7045128,2.1431863
"Abilene, TX",Sep 2004,Sep 2004_0,11572,67,531.21869,112.55206,110.84755,-2.4025002,.77263641,-1.7045128,-.69798726
"Abilene, TX",Oct 2004,Oct 2004_0,11573,67,552.11908,109.79082,108.08631,-4.0735946,.49605039,-1.7045128,-2.3690815
"Abilene, TX",Nov 2004,Nov 2004_0,11574,67,530.82062,107.2615,105.55698,-.42345476,.50814551,-1.7045128,1.2810581
"Abilene, TX",Dec 2004,Dec 2004_0,11575,67,520.42932,105.99105,104.28654,.87931043,.70628417,-1.7045128,2.5838234
"Abilene, TX",Jan 2005,Jan 2005_0,12120,67,534.44391,107.16087,105.45636,.23280329,.51865768,-1.7045128,1.9373162
"Abilene, TX",Feb 2005,Feb 2005_0,12121,67,544.8288,111.32391,109.6194,-3.0985277,1.2775725,-1.7045128,-1.3940148
"Abilene, TX",Mar 2005,Mar 2005_0,12122,67,554.97998,115.94937,114.24486,-2.859611,.82932734,-1.7045128,-1.1550982
"Abilene, TX",Apr 2005,Apr 2005_0,12123,67,583.54718,120.44904,118.74453,-6.8500371,.79750144,-1.7045128,-5.145524
"Abilene, TX",May 2005,May 2005_0,12124,67,561.297,121.22298,119.51847,-5.8961926,.98877859,-1.7045128,-4.1916795
"Abilene, TX",Jun 2005,Jun 2005_0,12125,67,566.00702,117.27284,115.56833,-4.3044515,.76460218,-1.7045128,-2.5999386
"Abilene, TX",Jul 2005,Jul 2005_0,12126,67,558.9563,111.81845,110.11394,-2.98822,.63774765,-1.7045128,-1.2837071
"Abilene, TX",Aug 2005,Aug 2005_0,12127,67,569.5813,112.63386,110.92934,-2.5390713,.87633193,-1.7045128,-.83455843
"Abilene, TX",Sep 2005,Sep 2005_0,12128,67,531.19891,116.16607,114.46156,-2.9461701,.63282245,-1.7045128,-1.2416573
"Abilene, TX",Oct 2005,Oct 2005_0,12129,67,531.36243,118.1657,116.46119,-9.1209135,.64593911,-1.7045128,-7.4164009
"Abilene, TX",Nov 2005,Nov 2005_0,12130,67,522.5639,117.21211,115.5076,-6.832478,.53720307,-1.7045128,-5.127965
"Abilene, TX",Dec 2005,Dec 2005_0,12131,67,511.0553,117.64635,115.94183,-4.6440721,.48328125,-1.7045128,-2.9395592
"Abilene, TX",Jan 2006,Jan 2006_0,12687,67,510.39111,117.80613,116.10162,-4.0947824,.48873022,-1.7045128,-2.3902695
"Abilene, TX",Feb 2006,Feb 2006_0,12688,67,512.31073,118.21908,116.51456,-2.1223261,.67518502,-1.7045128,-.41781321
"Abilene, TX",Mar 2006,Mar 2006_0,12689,67,493.74149,116.55357,114.84905,.30564195,1.2659438,-1.7045128,2.0101547
"Abilene, TX",Apr 2006,Apr 2006_0,12690,67,506.64389,113.37437,111.66986,2.2470443,1.4422624,-1.7045128,3.9515572
"Abilene, TX",May 2006,May 2006_0,12691,67,536.55902,111.2653,109.5608,-2.6598699,.77485061,-1.7045128,-.95535696
"Abilene, TX",Jun 2006,Jun 2006_0,12692,67,535.78882,112.13941,110.4349,-2.5746396,.70169753,-1.7045128,-.87012661
"Abilene, TX",Jul 2006,Jul 2006_0,12693,67,502.35059,114.48825,112.78374,-1.0489875,.77076125,-1.7045128,.65552539
"Abilene, TX",Aug 2006,Aug 2006_0,12694,67,479.88681,116.85226,115.14776,-5.8276401,1.3694102,-1.7045128,-4.123127
"Abilene, TX",Sep 2006,Sep 2006_0,12695,67,490.42929,117.84773,116.14322,-2.2041876,.84781355,-1.7045128,-.49967477
"Abilene, TX",Oct 2006,Oct 2006_0,12696,67,483.72699,109.98405,108.27953,2.2770765,.51145166,-1.7045128,3.9815893
"Abilene, TX",Nov 2006,Nov 2006_0,12697,67,518.22229,99.951424,98.246918,1.1180006,.46884826,-1.7045128,2.8225136
"Abilene, TX",Dec 2006,Dec 2006_0,12698,67,509.50589,97.767975,96.063461,-.42971516,.42307746,-1.7045128,1.2747978
"Abilene, TX",Jan 2007,Jan 2007_0,13275,67,506.0079,96.474396,94.769882,5.6447349,.51534677,-1.7045128,7.3492475
"Abilene, TX",Feb 2007,Feb 2007_0,13276,67,484.9982,97.677666,95.973152,3.4758165,.53242093,-1.7045128,5.1803293
"Abilene, TX",Mar 2007,Mar 2007_0,13277,67,486.49109,106.08204,104.37753,4.0588298,.72954053,-1.7045128,5.7633424
"Abilene, TX",Apr 2007,Apr 2007_0,13278,67,515.34808,110.0518,108.34728,3.0847323,.61334592,-1.7045128,4.7892451
"Abilene, TX",May 2007,May 2007_0,13279,67,539.5047,110.13254,108.42802,-.11969903,.70293337,-1.7045128,1.5848138
"Abilene, TX",Jun 2007,Jun 2007_0,13280,67,544.88538,106.64255,104.93803,-.74487954,.59167874,-1.7045128,.95963335
"Abilene, TX",Jul 2007,Jul 2007_0,13281,67,527.61011,110.83839,109.13387,.6423772,.62541372,-1.7045128,2.3468902
"Abilene, TX",Aug 2007,Aug 2007_0,13282,67,536.42938,112.40593,110.70142,-.23489922,.83969682,-1.7045128,1.4696137
"Abilene, TX",Sep 2007,Sep 2007_0,13283,67,523.66211,111.47375,109.76924,-1.5388564,.92078376,-1.7045128,.16565655
"Abilene, TX",Oct 2007,Oct 2007_0,13284,67,510.06061,107.09317,105.38866,-2.7887421,.73570687,-1.7045128,-1.0842292
"Abilene, TX",Nov 2007,Nov 2007_0,13285,67,498.18109,102.62994,100.92542,-3.1625595,.65765458,-1.7045128,-1.4580466
"Abilene, TX",Dec 2007,Dec 2007_0,13286,67,501.13959,102.05238,100.34787,-.51044214,.56333584,-1.7045128,1.1940707
"Abilene, TX",Jan 2008,Jan 2008_0,13842,67,512.22522,96.504059,94.799545,-1.540032,.64907736,-1.7045128,.16448089
"Abilene, TX",Feb 2008,Feb 2008_0,13843,67,502.52701,103.13792,101.4334,-1.0612181,.89424127,-1.7045128,.64329469
"Abilene, TX",Mar 2008,Mar 2008_0,13844,67,477.9151,102.73134,101.02683,2.8487973,1.7444947,-1.7045128,4.5533104
"Abilene, TX",Apr 2008,Apr 2008_0,13845,67,482.3826,98.245987,96.541473,3.0696809,.72877312,-1.7045128,4.7741938
"Abilene, TX",May 2008,May 2008_0,13846,67,521.42371,102.83344,101.12892,-3.5053983,.62175101,-1.7045128,-1.8008853
"Abilene, TX",Jun 2008,Jun 2008_0,13847,67,523.84497,101.03128,99.326767,-2.587913,.82041502,-1.7045128,-.88340014
"Abilene, TX",Jul 2008,Jul 2008_0,13848,67,505.26389,102.47149,100.76698,-3.1897628,.84623444,-1.7045128,-1.4852499
"Abilene, TX",Aug 2008,Aug 2008_0,13849,67,502.9397,104.37787,102.67336,-4.2203941,.63256049,-1.7045128,-2.5158813
"Abilene, TX",Sep 2008,Sep 2008_0,13850,67,494.35071,102.35532,100.65082,1.669186,.72192782,-1.7045128,3.3736989
"Abilene, TX",Oct 2008,Oct 2008_0,13851,67,519.48999,93.178391,91.473877,.090961017,.65748149,-1.7045128,1.7954739
"Abilene, TX",Nov 2008,Nov 2008_0,13852,67,523.49072,89.889023,88.184509,-.49634752,.78177297,-1.7045128,1.2081654
"Abilene, TX",Dec 2008,Dec 2008_0,13853,67,536.08649,85.108932,83.404419,-4.9838719,.64159131,-1.7045128,-3.2793593
"Abilene, TX",Jan 2009,Jan 2009_0,14446,67,504.66449,90.722664,89.01815,-4.9341483,.52355033,-1.7045128,-3.2296355
"Abilene, TX",Feb 2009,Feb 2009_0,14447,67,496.3082,91.250877,89.546364,-3.9228888,.53369719,-1.7045128,-2.2183759
"Abilene, TX",Mar 2009,Mar 2009_0,14448,67,520.40289,92.088226,90.383713,-4.0902967,.53013206,-1.7045128,-2.3857837
"Abilene, TX",Apr 2009,Apr 2009_0,14449,67,511.8623,96.607292,94.902779,-2.7620695,.55524069,-1.7045128,-1.0575567
"Abilene, TX",May 2009,May 2009_0,14450,67,476.44229,97.816124,96.11161,1.3545461,.5922206,-1.7045128,3.0590589
"Abilene, TX",Jun 2009,Jun 2009_0,14451,67,497.09781,95.198112,93.493599,2.1392303,2.6573753,-1.7045128,3.8437431
"Abilene, TX",Jul 2009,Jul 2009_0,14452,67,510.0676,94.31356,92.609047,1.8197626,.54246795,-1.7045128,3.5242755
"Abilene, TX",Aug 2009,Aug 2009_0,14453,67,502.0426,93.964661,92.260147,2.9282489,.5238272,-1.7045128,4.632762
"Abilene, TX",Sep 2009,Sep 2009_0,14454,67,513.1156,91.273781,89.569275,.63624251,.47960195,-1.7045128,2.3407555
