locale,date,dateid,x,y,weight,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,528.60498,85.746185,84.253105,1.1010771,.51946074,-1.4930799,2.594157
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,548.95587,86.717278,85.224197,-.81614596,.60082358,-1.4930799,.67693388
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,548.92548,84.991928,83.498856,.78044534,.52562273,-1.4930799,2.2735252
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,520.89008,82.196281,80.703201,4.9330306,.54789692,-1.4930799,6.4261103
"Abilene, TX",May 2002,May 2002_0,10348,67,572.16638,80.242676,78.749596,-4.0860581,.64521468,-1.4930799,-2.5929782
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,579.64618,77.635338,76.142265,-.92073423,.70531261,-1.4930799,.57234561
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,534.13538,80.346382,78.853302,-.34157664,.8693682,-1.4930799,1.1515032
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,525.43622,87.159409,85.666328,-7.9632964,4.0286388,-1.4930799,-6.4702168
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,512.62921,81.168114,79.675034,-2.1377275,1.2769471,-1.4930799,-.64464754
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,525.93671,79.215042,77.721962,-.58243507,.48110408,-1.4930799,.91064477
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,516.10907,81.008743,79.515663,-2.1868649,.71164685,-1.4930799,-.69378513
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,535.13232,83.949524,82.456444,-5.6295953,.52734989,-1.4930799,-4.1365151
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,530.4267,83.352097,81.859016,-3.9409869,.54715061,-1.4930799,-2.447907
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,545.99017,81.772034,80.278954,-2.6137626,.52411669,-1.4930799,-1.1206827
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,577.75549,81.599258,80.106178,-4.3031888,.60712147,-1.4930799,-2.8101091
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,572.50378,84.034637,82.541557,-5.5504012,.54050249,-1.4930799,-4.0573215
"Abilene, TX",May 2003,May 2003_0,10959,67,566.08368,85.396698,83.903618,-7.2812262,.56401539,-1.4930799,-5.788146
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,541.15887,86.34877,84.85569,-5.219933,.64017022,-1.4930799,-3.7268531
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,543.71307,89.757759,88.264679,-6.0009475,1.2493731,-1.4930799,-4.5078673
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,534.26532,91.826904,90.333824,-7.0825329,.67356592,-1.4930799,-5.5894527
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,532.42578,95.767532,94.274452,-5.3843694,.60944855,-1.4930799,-3.8912897
"Abilene, TX",Oct 2003,Oct 2003_0,10964,67,522.8255,98.281456,96.788376,-6.2199483,.69893491,-1.4930799,-4.7268682
"Abilene, TX",Nov 2003,Nov 2003_0,10965,67,508.36661,98.049408,96.556328,-5.5651474,.56646901,-1.4930799,-4.0720677
"Abilene, TX",Dec 2003,Dec 2003_0,10966,67,512.82031,99.001419,97.508339,-.67882711,.65998834,-1.4930799,.81425273
"Abilene, TX",Jan 2004,Jan 2004_0,11564,67,525.43347,92.815048,91.321968,-1.0507954,.48026904,-1.4930799,.44228441
"Abilene, TX",Feb 2004,Feb 2004_0,11565,67,509.6442,93.231613,91.738533,.64090484,.64912552,-1.4930799,2.1339848
