locale,date,dateid,x,y,logrevenue,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,13.443775,14.432954,13.695373,-.9891783,.10768481,-.73758101,-.25159729
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,13.408807,14.427419,13.689837,-1.0186118,.082330398,-.73758101,-.28103077
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,13.840193,14.381932,13.644351,-.54173958,.084262393,-.73758101,.19584148
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,13.09411,13.997925,13.260345,-.90381467,.079203151,-.73758101,-.16623366
"Abilene, TX",May 2002,May 2002_0,10348,67,13.197496,13.643976,12.906395,-.4464798,.13144669,-.73758101,.29110125
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,13.295524,13.788571,13.050991,-.49304807,.10297348,-.73758101,.24453296
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,12.71942,13.423441,12.68586,-.70402008,.10320919,-.73758101,.033560954
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,13.58532,13.905463,13.167883,-.32014313,.11892658,-.73758101,.41743791
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,13.141494,13.885703,13.148123,-.74420965,.1179144,-.73758101,-.0066286023
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,13.457872,14.079636,13.342054,-.62176287,.10182734,-.73758101,.11581816
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,13.806862,14.344076,13.606495,-.53721398,.084186926,-.73758101,.20036705
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,13.339969,13.873828,13.136247,-.53385943,.083194301,-.73758101,.2037216
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,13.412121,14.281751,13.544169,-.8696301,.091343261,-.73758101,-.13204905
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,13.275999,14.167235,13.429655,-.89123666,.070030935,-.73758101,-.15365563
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,13.624024,14.261325,13.523744,-.63730013,.1251274,-.73758101,.10028087
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,13.610485,14.131522,13.393941,-.52103722,.072126269,-.73758101,.21654381
"Abilene, TX",May 2003,May 2003_0,10959,67,13.594498,13.831696,13.094115,-.23719814,.13924608,-.73758101,.5003829
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,13.296876,13.550397,12.812816,-.25352085,.16245851,-.73758101,.4840602
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,13.297423,13.530001,12.79242,-.23257776,.15049221,-.73758101,.50500327
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,13.868556,14.104988,13.367408,-.23643249,.079257347,-.73758101,.50114852
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,13.610589,14.187408,13.449827,-.57681936,.065624028,-.73758101,.16076165
"Abilene, TX",Oct 2003,Oct 2003_0,10964,67,13.918937,14.516883,13.779302,-.59794587,.094423957,-.73758101,.13963518
"Abilene, TX",Nov 2003,Nov 2003_0,10965,67,13.857883,14.702915,13.965334,-.84503168,.065499097,-.73758101,-.10745066
"Abilene, TX",Dec 2003,Dec 2003_0,10966,67,13.435304,14.130694,13.393113,-.69539064,.063676305,-.73758101,.042190373
"Abilene, TX",Jan 2004,Jan 2004_0,11564,67,14.010688,14.474156,13.736575,-.4634681,.067145787,-.73758101,.27411291
"Abilene, TX",Feb 2004,Feb 2004_0,11565,67,13.77388,14.307442,13.56986,-.53356129,.061270967,-.73758101,.20401977
