locale,date,dateid,x,y,logrevenue,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,13.443775,14.428163,13.676063,-.98438746,.091196194,-.75209969,-.23228778
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,13.408807,14.417353,13.665253,-1.0085458,.063895613,-.75209969,-.25644603
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,13.840193,14.35248,13.60038,-.51228666,.061745785,-.75209969,.239813
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,13.09411,13.971099,13.218999,-.87698841,.056615371,-.75209969,-.12488871
"Abilene, TX",May 2002,May 2002_0,10348,67,13.197496,13.652005,12.899905,-.45450836,.10850214,-.75209969,.29759133
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,13.295524,13.751802,12.999702,-.45627874,.099815898,-.75209969,.29582095
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,12.71942,13.402271,12.650171,-.6828509,.099875331,-.75209969,.069248758
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,13.58532,13.92986,13.17776,-.34453943,.098487221,-.75209969,.40756023
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,13.141494,13.871298,13.119199,-.72980422,.083528705,-.75209969,.022295466
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,13.457872,14.091655,13.339556,-.63378286,.07466504,-.75209969,.11831684
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,13.806862,14.355378,13.603278,-.54851592,.057394065,-.75209969,.20358378
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,13.339969,13.913866,13.161766,-.573897,.061937589,-.75209969,.17820267
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,13.412121,14.316918,13.564818,-.90479749,.080607727,-.75209969,-.1526978
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,13.275999,14.217462,13.465363,-.94146281,.05368679,-.75209969,-.18936312
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,13.624024,14.345878,13.593778,-.72185338,.09243039,-.75209969,.030246321
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,13.610485,14.18073,13.428631,-.57024509,.055767242,-.75209969,.18185461
"Abilene, TX",May 2003,May 2003_0,10959,67,13.594498,13.85696,13.10486,-.26246253,.11754408,-.75209969,.48963717
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,13.296876,13.618059,12.865959,-.32118297,.15431283,-.75209969,.43091673
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,13.297423,13.589019,12.836919,-.29159522,.14194866,-.75209969,.46050447
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,13.868556,14.135851,13.383751,-.26729473,.070015423,-.75209969,.48480493
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,13.610589,14.232764,13.480664,-.62217492,.056915484,-.75209969,.12992474
