locale,date,dateid,x,y,logrevenue,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,13.443775,14.407084,13.642977,-.96330965,.090530761,-.76410776,-.19920188
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,13.408807,14.395492,13.631384,-.9866845,.063295223,-.76410776,-.22257672
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,13.840193,14.3314,13.567292,-.49120754,.060339816,-.76410776,.27290022
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,13.09411,13.949308,13.185201,-.85519826,.056135099,-.76410776,-.0910905
"Abilene, TX",May 2002,May 2002_0,10348,67,13.197496,13.632133,12.868024,-.43463567,.10359133,-.76410776,.32947209
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,13.295524,13.743345,12.979238,-.4478212,.10269453,-.76410776,.31628656
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,12.71942,13.401379,12.637271,-.6819579,.10136806,-.76410776,.082149893
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,13.58532,13.921467,13.157359,-.33614632,.096472539,-.76410776,.42796147
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,13.141494,13.877552,13.113444,-.73605818,.084134333,-.76410776,.028049622
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,13.457872,14.071617,13.307509,-.61374509,.073188633,-.76410776,.15036269
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,13.806862,14.334822,13.570714,-.52796,.056169041,-.76410776,.23614779
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,13.339969,13.883851,13.119743,-.54388213,.061254829,-.76410776,.22022565
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,13.412121,14.288407,13.5243,-.87628639,.079257891,-.76410776,-.11217863
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,13.275999,14.192773,13.428665,-.91677344,.052804027,-.76410776,-.15266566
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,13.624024,14.320712,13.556604,-.69668806,.088262305,-.76410776,.0674197
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,13.610485,14.154733,13.390625,-.54424787,.055004958,-.76410776,.21985993
"Abilene, TX",May 2003,May 2003_0,10959,67,13.594498,13.833747,13.069639,-.23924887,.11549658,-.76410776,.52485889
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,13.296876,13.600443,12.836335,-.30356726,.15604739,-.76410776,.46054053
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,13.297423,13.568551,12.804443,-.2711274,.14448331,-.76410776,.49298039
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,13.868556,14.107459,13.343351,-.23890316,.070003644,-.76410776,.5252046
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,13.610589,14.221847,13.457739,-.61125749,.056690358,-.76410776,.15285029
"Abilene, TX",Oct 2003,Oct 2003_0,10964,67,13.918937,14.553144,13.789037,-.63420784,.089056455,-.76410776,.12989993
"Abilene, TX",Nov 2003,Nov 2003_0,10965,67,13.857883,14.711588,13.94748,-.85370427,.059660099,-.76410776,-.089596517
"Abilene, TX",Dec 2003,Dec 2003_0,10966,67,13.435304,14.176553,13.412444,-.74124861,.054980464,-.76410776,.022859152
"Abilene, TX",Jan 2004,Jan 2004_0,11564,67,14.010688,14.518503,13.754395,-.50781494,.069832079,-.76410776,.25629282
"Abilene, TX",Feb 2004,Feb 2004_0,11565,67,13.77388,14.34059,13.576482,-.56670928,.0579018,-.76410776,.19739848
"Abilene, TX",Mar 2004,Mar 2004_0,11566,67,13.87053,14.297669,13.533562,-.42713898,.052470088,-.76410776,.33696878
"Abilene, TX",Apr 2004,Apr 2004_0,11567,67,14.019543,14.065786,13.301679,-.046244025,.056180451,-.76410776,.71786374
"Abilene, TX",May 2004,May 2004_0,11568,67,14.024071,14.311235,13.547128,-.28716475,.060342837,-.76410776,.47694302
"Abilene, TX",Jun 2004,Jun 2004_0,11569,67,13.631764,13.943911,13.179803,-.3121464,.082266554,-.76410776,.45196137
"Abilene, TX",Jul 2004,Jul 2004_0,11570,67,13.988808,14.089466,13.325358,-.10065806,.086965606,-.76410776,.6634497
"Abilene, TX",Aug 2004,Aug 2004_0,11571,67,13.896421,14.140757,13.376649,-.24433553,.068659864,-.76410776,.51977223
