locale,date,dateid,x,y,logweight,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,6.2702413,,,,,,
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,6.3080182,,,,,,
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,6.3079629,,,,,,
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,6.2555389,,,,,,
"Abilene, TX",May 2002,May 2002_0,10348,67,6.3494301,,,,,,
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,6.3624177,,,,,,
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,6.2806492,,,,,,
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,6.2642288,,,,,,
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,6.239553,,,,,,
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,6.2651811,,,,,,
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,6.2463183,,,,,,
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,6.2825141,,,,,,
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,6.2736816,6.3062687,6.2224884,-.032586854,.0067477017,-.083780281,.051193431
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,6.3026009,6.3410358,6.2572556,-.038435005,.0058418382,-.083780281,.04534528
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,6.3591509,6.3513455,6.2675653,.0078053987,.0067334827,-.083780281,.091585681
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,6.3500195,6.3446898,6.2609096,.0053298022,.0075470172,-.083780281,.089110084
"Abilene, TX",May 2003,May 2003_0,10959,67,6.3387418,6.3779902,6.29421,-.039248414,.0081768688,-.083780281,.044531871
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,6.2937131,6.3926039,6.3088236,-.098890692,.0077619543,-.083780281,-.015110409
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,6.2984219,6.3836546,6.2998743,-.085232675,.0092292409,-.083780281,-.0014523934
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,6.2808924,6.3889484,6.3051682,-.10805626,.0096176127,-.083780281,-.024275977
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,6.2774434,6.3431959,6.2594156,-.065752685,.0084711155,-.083780281,.0180276
"Abilene, TX",Oct 2003,Oct 2003_0,10964,67,6.2592478,6.2930188,6.2092385,-.033770856,.0078389458,-.083780281,.050009429
"Abilene, TX",Nov 2003,Nov 2003_0,10965,67,6.2312031,6.2840033,6.200223,-.052800193,.0071802936,-.083780281,.03098009
"Abilene, TX",Dec 2003,Dec 2003_0,10966,67,6.2399254,6.3053217,6.2215414,-.065396309,.0051583163,-.083780281,.01838397
"Abilene, TX",Jan 2004,Jan 2004_0,11564,67,6.2642236,6.3448453,6.261065,-.080621779,.0046819947,-.083780281,.0031585086
"Abilene, TX",Feb 2004,Feb 2004_0,11565,67,6.2337127,6.3543177,6.2705374,-.12060491,.0060761664,-.083780281,-.036824625
"Abilene, TX",Mar 2004,Mar 2004_0,11566,67,6.2377186,6.3548455,6.2710652,-.11712708,.0065424428,-.083780281,-.033346795
"Abilene, TX",Apr 2004,Apr 2004_0,11567,67,6.2725782,6.3425989,6.2588186,-.070020631,.0050092996,-.083780281,.013759654
"Abilene, TX",May 2004,May 2004_0,11568,67,6.3058438,6.388186,6.3044057,-.082342155,.0062725456,-.083780281,.0014381288
"Abilene, TX",Jun 2004,Jun 2004_0,11569,67,6.2826772,6.3786631,6.2948828,-.095985785,.0079284506,-.083780281,-.012205501
