locale,date,dateid,x,y,logweight,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,10344,67,6.2702413,,,,,,
"Abilene, TX",Feb 2002,Feb 2002_0,10345,67,6.3080182,,,,,,
"Abilene, TX",Mar 2002,Mar 2002_0,10346,67,6.3079629,,,,,,
"Abilene, TX",Apr 2002,Apr 2002_0,10347,67,6.2555389,,,,,,
"Abilene, TX",May 2002,May 2002_0,10348,67,6.3494301,,,,,,
"Abilene, TX",Jun 2002,Jun 2002_0,10349,67,6.3624177,,,,,,
"Abilene, TX",Jul 2002,Jul 2002_0,10350,67,6.2806492,,,,,,
"Abilene, TX",Aug 2002,Aug 2002_0,10351,67,6.2642288,,,,,,
"Abilene, TX",Sep 2002,Sep 2002_0,10352,67,6.239553,,,,,,
"Abilene, TX",Oct 2002,Oct 2002_0,10353,67,6.2651811,,,,,,
"Abilene, TX",Nov 2002,Nov 2002_0,10354,67,6.2463183,,,,,,
"Abilene, TX",Dec 2002,Dec 2002_0,10355,67,6.2825141,,,,,,
"Abilene, TX",Jan 2003,Jan 2003_0,10955,67,6.2736816,6.3042092,6.2321649,-.030527517,.0068132351,-.072044164,.041516647
"Abilene, TX",Feb 2003,Feb 2003_0,10956,67,6.3026009,6.3443556,6.2723112,-.041754723,.0060337363,-.072044164,.030289443
"Abilene, TX",Mar 2003,Mar 2003_0,10957,67,6.3591509,6.3419752,6.2699308,.017175896,.0066466341,-.072044164,.089220062
"Abilene, TX",Apr 2003,Apr 2003_0,10958,67,6.3500195,6.3255067,6.2534623,.024512753,.0079641948,-.072044164,.096556917
"Abilene, TX",May 2003,May 2003_0,10959,67,6.3387418,6.3606987,6.2886543,-.02195682,.0078755589,-.072044164,.050087344
"Abilene, TX",Jun 2003,Jun 2003_0,10960,67,6.2937131,6.3790016,6.3069572,-.085288443,.0082280487,-.072044164,-.013244281
"Abilene, TX",Jul 2003,Jul 2003_0,10961,67,6.2984219,6.3600941,6.2880502,-.061672326,.010626101,-.072044164,.01037184
"Abilene, TX",Aug 2003,Aug 2003_0,10962,67,6.2808924,6.3576612,6.2856169,-.076768644,.011061882,-.072044164,-.0047244807
"Abilene, TX",Sep 2003,Sep 2003_0,10963,67,6.2774434,6.3159256,6.2438812,-.038482193,.0098221209,-.072044164,.033561971
"Abilene, TX",Oct 2003,Oct 2003_0,10964,67,6.2592478,6.2678742,6.1958299,-.008626421,.0079715848,-.072044164,.06341774
"Abilene, TX",Nov 2003,Nov 2003_0,10965,67,6.2312031,6.2608528,6.1888089,-.02964987,.0067937984,-.072044164,.042394295
"Abilene, TX",Dec 2003,Dec 2003_0,10966,67,6.2399254,6.2966561,6.2246122,-.056730818,.0061569242,-.072044164,.015313348
"Abilene, TX",Jan 2004,Jan 2004_0,11564,67,6.2642236,6.3329754,6.2609315,-.068752028,.0054132594,-.072044164,.0032921352
"Abilene, TX",Feb 2004,Feb 2004_0,11565,67,6.2337127,6.3483191,6.2762752,-.11460645,.0072305896,-.072044164,-.042562284
"Abilene, TX",Mar 2004,Mar 2004_0,11566,67,6.2377186,6.3680992,6.2960553,-.13038081,.0055754064,-.072044164,-.058336642
"Abilene, TX",Apr 2004,Apr 2004_0,11567,67,6.2725782,6.3589458,6.2869015,-.086367488,.0057899179,-.072044164,-.014323321
"Abilene, TX",May 2004,May 2004_0,11568,67,6.3058438,6.3844309,6.3123865,-.078586817,.0074320678,-.072044164,-.0065426538
"Abilene, TX",Jun 2004,Jun 2004_0,11569,67,6.2826772,6.3840346,6.3119903,-.10135733,.010437174,-.072044164,-.029313164
