locale,date,dateid,x,y,logweight,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,Jan 2002_0,-332333.91,-873915.5,6.2959652,,,,,,
"Abilene, TX",Feb 2002,Feb 2002_0,-332333.91,-873915.5,6.3291178,,,,,,
"Abilene, TX",Mar 2002,Mar 2002_0,-332333.91,-873915.5,6.3356109,,,,,,
"Abilene, TX",Apr 2002,Apr 2002_0,-332333.91,-873915.5,6.3070116,,,,,,
"Abilene, TX",May 2002,May 2002_0,-332333.91,-873915.5,6.3652592,,,,,,
"Abilene, TX",Jun 2002,Jun 2002_0,-332333.91,-873915.5,6.3715968,,,,,,
"Abilene, TX",Jul 2002,Jul 2002_0,-332333.91,-873915.5,6.3026214,,,,,,
"Abilene, TX",Aug 2002,Aug 2002_0,-332333.91,-873915.5,6.2913938,,,,,,
"Abilene, TX",Sep 2002,Sep 2002_0,-332333.91,-873915.5,6.2667413,,,,,,
"Abilene, TX",Oct 2002,Oct 2002_0,-332333.91,-873915.5,6.2833514,,,,,,
"Abilene, TX",Nov 2002,Nov 2002_0,-332333.91,-873915.5,6.2755942,,,,,,
"Abilene, TX",Dec 2002,Dec 2002_0,-332333.91,-873915.5,6.3044181,,,,,,
"Abilene, TX",Jan 2003,Jan 2003_0,-332333.91,-873915.5,6.3012881,6.3259454,6.2653713,-.024657434,.0047869836,-.060574308,.035916872
"Abilene, TX",Feb 2003,Feb 2003_0,-332333.91,-873915.5,6.3185883,6.360106,6.2995319,-.041517802,.0051563201,-.060574308,.019056505
"Abilene, TX",Mar 2003,Mar 2003_0,-332333.91,-873915.5,6.3739161,6.3720751,6.3115005,.0018412952,.0051395022,-.060574308,.062415604
"Abilene, TX",Apr 2003,Apr 2003_0,-332333.91,-873915.5,6.3613205,6.3587503,6.2981763,.0025700012,.0057186261,-.060574308,.063144311
"Abilene, TX",May 2003,May 2003_0,-332333.91,-873915.5,6.3566976,6.3870959,6.3265219,-.030398447,.0076305284,-.060574308,.030175861
"Abilene, TX",Jun 2003,Jun 2003_0,-332333.91,-873915.5,6.3443499,6.4063931,6.3458185,-.062043149,.0084523251,-.060574308,-.0014688425
"Abilene, TX",Jul 2003,Jul 2003_0,-332333.91,-873915.5,6.3382683,6.3873949,6.3268209,-.049126662,.011014413,-.060574308,.011447643
"Abilene, TX",Aug 2003,Aug 2003_0,-332333.91,-873915.5,6.3225074,6.394156,6.3335819,-.071648665,.010941423,-.060574308,-.011074358
"Abilene, TX",Sep 2003,Sep 2003_0,-332333.91,-873915.5,6.2914033,6.3375878,6.2770138,-.046184588,.0096070729,-.060574308,.014389718
"Abilene, TX",Oct 2003,Oct 2003_0,-332333.91,-873915.5,6.2587376,6.2824812,6.2219071,-.023743747,.0070724827,-.060574308,.036830559
"Abilene, TX",Nov 2003,Nov 2003_0,-332333.91,-873915.5,6.2446575,6.287816,6.2272415,-.043158423,.0057037929,-.060574308,.017415883
"Abilene, TX",Dec 2003,Dec 2003_0,-332333.91,-873915.5,6.2450967,6.318357,6.2577825,-.073260248,.0056536249,-.060574308,-.012685939
"Abilene, TX",Jan 2004,Jan 2004_0,-332333.91,-873915.5,6.2724986,6.3578687,6.2972941,-.085369855,.004490735,-.060574308,-.024795547
"Abilene, TX",Feb 2004,Feb 2004_0,-332333.91,-873915.5,6.2310781,6.3573112,6.2967367,-.12623295,.0042583235,-.060574308,-.065658651
"Abilene, TX",Mar 2004,Mar 2004_0,-332333.91,-873915.5,6.2369504,6.3768439,6.3162694,-.13989353,.0040746769,-.060574308,-.079319231
"Abilene, TX",Apr 2004,Apr 2004_0,-332333.91,-873915.5,6.2619395,6.3639927,6.3034186,-.1020533,.0043041976,-.060574308,-.041478992
"Abilene, TX",May 2004,May 2004_0,-332333.91,-873915.5,6.314538,6.398891,6.3383164,-.084352918,.0048228656,-.060574308,-.02377861
"Abilene, TX",Jun 2004,Jun 2004_0,-332333.91,-873915.5,6.2851381,6.3974085,6.3368344,-.11227038,.0077041844,-.060574308,-.051696066
"Abilene, TX",Jul 2004,Jul 2004_0,-332333.91,-873915.5,6.2878332,6.3775578,6.3169837,-.089724563,.0067342934,-.060574308,-.029150257
"Abilene, TX",Aug 2004,Aug 2004_0,-332333.91,-873915.5,6.2450881,6.3746567,6.3140821,-.12956853,.0080659222,-.060574308,-.068994224
"Abilene, TX",Sep 2004,Sep 2004_0,-332333.91,-873915.5,6.2717195,6.3589272,6.2983527,-.0872076,.0074571064,-.060574308,-.026633292
"Abilene, TX",Oct 2004,Oct 2004_0,-332333.91,-873915.5,6.3192,6.3145161,6.2539415,.0046841213,.0062390524,-.060574308,.065258428
"Abilene, TX",Nov 2004,Nov 2004_0,-332333.91,-873915.5,6.2781014,6.2936544,6.2330804,-.01555318,.0049759699,-.060574308,.045021128
"Abilene, TX",Dec 2004,Dec 2004_0,-332333.91,-873915.5,6.2625113,6.3031497,6.2425752,-.040638458,.005075912,-.060574308,.01993585
"Abilene, TX",Jan 2005,Jan 2005_0,-332333.91,-873915.5,6.302125,6.3301067,6.2695327,-.027981875,.0047278404,-.060574308,.032592431
"Abilene, TX",Feb 2005,Feb 2005_0,-332333.91,-873915.5,6.2904229,6.3141036,6.2535291,-.023680694,.00624122,-.060574308,.036893614
"Abilene, TX",Mar 2005,Mar 2005_0,-332333.91,-873915.5,6.3461127,6.3152199,6.2546453,.030892871,.0055421339,-.060574308,.091467179
"Abilene, TX",Apr 2005,Apr 2005_0,-332333.91,-873915.5,6.3896284,6.3379998,6.2774253,.05162859,.0053263116,-.060574308,.1122029
"Abilene, TX",May 2005,May 2005_0,-332333.91,-873915.5,6.3470054,6.3674803,6.3069062,-.020475,.0054265144,-.060574308,.040099308
"Abilene, TX",Jun 2005,Jun 2005_0,-332333.91,-873915.5,6.3515415,6.3679876,6.3074131,-.016446026,.0075560031,-.060574308,.04412828
"Abilene, TX",Jul 2005,Jul 2005_0,-332333.91,-873915.5,6.3454423,6.371098,6.3105235,-.025655568,.0062406915,-.060574308,.034918737
"Abilene, TX",Aug 2005,Aug 2005_0,-332333.91,-873915.5,6.3121376,6.341713,6.2811384,-.029575162,.0084347138,-.060574308,.030999145
"Abilene, TX",Sep 2005,Sep 2005_0,-332333.91,-873915.5,6.2962227,6.3501716,6.2895975,-.053948939,.0073417588,-.060574308,.0066253659
"Abilene, TX",Oct 2005,Oct 2005_0,-332333.91,-873915.5,6.3113265,6.3355694,6.2749949,-.024242762,.00534963,-.060574308,.036331546
"Abilene, TX",Nov 2005,Nov 2005_0,-332333.91,-873915.5,6.2878528,6.3162265,6.2556524,-.028373912,.0052748867,-.060574308,.032200396
"Abilene, TX",Dec 2005,Dec 2005_0,-332333.91,-873915.5,6.2714949,6.3195314,6.2589569,-.04803649,.0046388893,-.060574308,.012537816
"Abilene, TX",Jan 2006,Jan 2006_0,-332333.91,-873915.5,6.2639699,6.3591576,6.2985835,-.095187753,.0045108618,-.060574308,-.034613445
