"","est1","","","est2","",""
"","b","se","p","b","se","p"
"winter1","1.405","1.34","0.295","1.405","1.34","0.295"
"spring1","-1.249","1.37","0.364","-1.249","1.37","0.364"
"summer1","-0.955","1.87","0.610","-0.955","1.87","0.610"
"fall1","-1.584","1.61","0.326","-1.584","1.61","0.326"
"winter2","2.251","1.47","0.128","2.251","1.47","0.128"
"spring2","-1.093","1.29","0.397","-1.093","1.29","0.397"
"summer2","1.460","2.31","0.529","1.460","2.31","0.529"
"fall2","0.277","1.67","0.869","0.277","1.67","0.869"
"504.time","0.000",".",".","0.000",".","."
"505.time","1.393","0.35","0.000***","1.393","0.35","0.000***"
"506.time","-0.521","0.36","0.151","-0.521","0.36","0.151"
"507.time","-3.328","0.50","0.000***","-3.328","0.50","0.000***"
"508.time","-5.357","0.52","0.000***","-5.357","0.52","0.000***"
"509.time","-8.009","0.61","0.000***","-8.009","0.61","0.000***"
"510.time","-5.573","0.90","0.000***","-5.573","0.90","0.000***"
"511.time","-0.362","3.47","0.917","-0.362","3.47","0.917"
"512.time","-5.028","1.42","0.001***","-5.028","1.42","0.001***"
"513.time","-7.263","0.44","0.000***","-7.263","0.44","0.000***"
"514.time","-5.568","0.68","0.000***","-5.568","0.68","0.000***"
"515.time","-2.949","0.52","0.000***","-2.949","0.52","0.000***"
"516.time","-2.821","0.55","0.000***","-2.821","0.55","0.000***"
"517.time","-4.072","0.52","0.000***","-4.072","0.52","0.000***"
"518.time","-4.531","0.52","0.000***","-4.531","0.52","0.000***"
"519.time","-1.917","0.55","0.001***","-1.917","0.55","0.001***"
"520.time","-0.445","0.66","0.504","-0.445","0.66","0.504"
"521.time","0.550","0.73","0.453","0.550","0.73","0.453"
"522.time","3.009","0.82","0.000***","3.009","0.82","0.000***"
"523.time","5.787","0.92","0.000***","5.787","0.92","0.000***"
"524.time","9.504","0.71","0.000***","9.504","0.71","0.000***"
"525.time","11.951","0.74","0.000***","11.951","0.74","0.000***"
"526.time","11.900","0.68","0.000***","11.900","0.68","0.000***"
"527.time","13.270","0.79","0.000***","13.270","0.79","0.000***"
"528.time","7.580","0.55","0.000***","7.580","0.55","0.000***"
"529.time","7.562","0.67","0.000***","7.562","0.67","0.000***"
"530.time","14.171","1.20","0.000***","14.171","1.20","0.000***"
"531.time","14.601","0.60","0.000***","14.601","0.60","0.000***"
"532.time","18.982","0.69","0.000***","18.982","0.69","0.000***"
"533.time","25.093","0.83","0.000***","25.093","0.83","0.000***"
"534.time","28.320","0.92","0.000***","28.320","0.92","0.000***"
"535.time","30.641","1.05","0.000***","30.641","1.05","0.000***"
"536.time","27.058","0.95","0.000***","27.058","0.95","0.000***"
"537.time","24.579","0.66","0.000***","24.579","0.66","0.000***"
"538.time","22.259","0.60","0.000***","22.259","0.60","0.000***"
"539.time","21.015","0.89","0.000***","21.015","0.89","0.000***"
"540.time","22.259","0.55","0.000***","22.259","0.55","0.000***"
"541.time","25.788","1.32","0.000***","25.788","1.32","0.000***"
"542.time","29.659","0.81","0.000***","29.659","0.81","0.000***"
"543.time","34.210","0.88","0.000***","34.210","0.88","0.000***"
"544.time","35.542","1.07","0.000***","35.542","1.07","0.000***"
"545.time","32.066","0.81","0.000***","32.066","0.81","0.000***"
"546.time","26.470","0.79","0.000***","26.470","0.79","0.000***"
"547.time","26.730","0.92","0.000***","26.730","0.92","0.000***"
"548.time","29.736","0.87","0.000***","29.736","0.87","0.000***"
"549.time","31.278","0.76","0.000***","31.278","0.76","0.000***"
"550.time","31.036","0.74","0.000***","31.036","0.74","0.000***"
"551.time","31.498","0.74","0.000***","31.498","0.74","0.000***"
"552.time","31.244","0.71","0.000***","31.244","0.71","0.000***"
"553.time","31.921","0.85","0.000***","31.921","0.85","0.000***"
"554.time","29.382","0.92","0.000***","29.382","0.92","0.000***"
"555.time","26.911","1.36","0.000***","26.911","1.36","0.000***"
"556.time","24.444","0.97","0.000***","24.444","0.97","0.000***"
"557.time","26.052","0.78","0.000***","26.052","0.78","0.000***"
"558.time","29.242","0.89","0.000***","29.242","0.89","0.000***"
"559.time","31.020","1.25","0.000***","31.020","1.25","0.000***"
"560.time","31.918","0.81","0.000***","31.918","0.81","0.000***"
"561.time","24.115","0.62","0.000***","24.115","0.62","0.000***"
"562.time","14.205","0.59","0.000***","14.205","0.59","0.000***"
