locale,date,month,year,dateid,x,y,weight,count,price,adj_price,adj_revenue,lat,lon,predictions,predictions_u,residuals,stnderror,u,e
"Abilene, TX",Jan 2002,1,2002,Jan 2002_0,-332333.91,-873915.5,542.37903,1502,88.729408,123.34776,722837,32.48941,-99.707268,6.3931618,6.2881184,-.097196802,.0004535683,-.1050435,.0078466954
"Abilene, TX",Feb 2002,2,2002,Feb 2002_0,-332333.91,-873915.5,560.66162,1412,87.86261,122.14278,695568,32.48941,-99.707268,6.3931618,6.2881184,-.064044222,.0004535683,-.1050435,.040999275
"Abilene, TX",Mar 2002,3,2002,Mar 2002_0,-332333.91,-873915.5,564.31409,2177,88.893028,123.57523,1092061.4,32.48941,-99.707268,6.3919024,6.286859,-.056291468,.00064764183,-.1050435,.048752032
"Abilene, TX",Apr 2002,4,2002,Apr 2002_0,-332333.91,-873915.5,548.40375,1071,88.647072,123.23331,520660.06,32.48941,-99.707268,6.3913002,6.2862568,-.084288582,.00092661002,-.1050435,.02075492
"Abilene, TX",May 2002,5,2002,May 2002_0,-332333.91,-873915.5,581.29547,1237,79.727707,110.834,573292.06,32.48941,-99.707268,6.3909454,6.285902,-.025686363,.0011042054,-.1050435,.07935714
"Abilene, TX",Jun 2002,6,2002,Jun 2002_0,-332333.91,-873915.5,584.99127,1337,79.788582,110.91862,624053.13,32.48941,-99.707268,6.3849254,6.279882,-.013328677,.0019697219,-.1050435,.091714822
"Abilene, TX",Jul 2002,7,2002,Jul 2002_0,-332333.91,-873915.5,546.0014,782,81.292862,113.00981,347098.69,32.48941,-99.707268,6.3859386,6.2808952,-.083317369,.001728374,-.1050435,.021726131
"Abilene, TX",Aug 2002,8,2002,Aug 2002_0,-332333.91,-873915.5,539.90521,1909,80.39431,111.76067,828607.31,32.48941,-99.707268,6.387804,6.2827606,-.096410312,.001347177,-.1050435,.008633188
"Abilene, TX",Sep 2002,9,2002,Sep 2002_0,-332333.91,-873915.5,526.75806,1258,79.968529,111.16878,529920.75,32.48941,-99.707268,6.387804,6.2827606,-.12106279,.001347177,-.1050435,-.016019292
"Abilene, TX",Oct 2002,10,2002,Oct 2002_0,-332333.91,-873915.5,535.58069,1691,80.049805,111.28176,724984.63,32.48941,-99.707268,6.387804,6.2827606,-.10445265,.001347177,-.1050435,.00059085264
"Abilene, TX",Nov 2002,11,2002,Nov 2002_0,-332333.91,-873915.5,531.4422,2437,80.280273,111.60214,1039729.6,32.48941,-99.707268,6.387804,6.2827606,-.11220983,.001347177,-.1050435,-.0071663344
"Abilene, TX",Dec 2002,12,2002,Dec 2002_0,-332333.91,-873915.5,546.98328,1483,79.93074,111.11624,648379.13,32.48941,-99.707268,6.387804,6.2827606,-.083385982,.001347177,-.1050435,.021657519
"Abilene, TX",Jan 2003,1,2003,Jan 2003_0,-332333.91,-873915.5,545.2738,1586,80.89724,109.95393,699602.75,32.48941,-99.707268,6.387804,6.2827606,-.086515941,.001347177,-.1050435,.01852756
"Abilene, TX",Feb 2003,2,2003,Feb 2003_0,-332333.91,-873915.5,554.78931,1349,80.486618,109.39582,602370.5,32.48941,-99.707268,6.387804,6.2827606,-.069215812,.001347177,-.1050435,.035827689
"Abilene, TX",Mar 2003,3,2003,Mar 2003_0,-332333.91,-873915.5,586.34967,1849,79.847542,108.5272,865675.56,32.48941,-99.707268,6.3926902,6.2876468,-.018774187,.0024393261,-.1050435,.086269312
"Abilene, TX",Apr 2003,4,2003,Apr 2003_0,-332333.91,-873915.5,579.01031,1813,81.647606,110.97381,857092.19,32.48941,-99.707268,6.3913474,6.2863035,-.030026734,.0018393102,-.1050435,.075016767
"Abilene, TX",May 2003,5,2003,May 2003_0,-332333.91,-873915.5,576.33978,1813,80.431267,109.32059,840429.56,32.48941,-99.707268,6.3906522,6.2856083,-.033954445,.0015748568,-.1050435,.071089059
"Abilene, TX",Jun 2003,6,2003,Jun 2003_0,-332333.91,-873915.5,569.26727,1356,83.091232,112.93597,641403.19,32.48941,-99.707268,6.3986821,6.2936387,-.054332264,.00086685031,-.1050435,.050711237
"Abilene, TX",Jul 2003,7,2003,Jul 2003_0,-332333.91,-873915.5,565.81561,1308,84.68087,115.09657,626711.94,32.48941,-99.707268,6.3932152,6.2881718,-.054946758,.00083667214,-.1050435,.050096743
"Abilene, TX",Aug 2003,8,2003,Aug 2003_0,-332333.91,-873915.5,556.96783,2329,85.753372,116.55429,1112374,32.48941,-99.707268,6.3933301,6.2882862,-.070822537,.00080448709,-.1050435,.034220967
"Abilene, TX",Sep 2003,9,2003,Sep 2003_0,-332333.91,-873915.5,539.91034,1693,90.158623,122.54182,824111.25,32.48941,-99.707268,6.3933301,6.2882862,-.10192662,.00080448709,-.1050435,.0031168782
"Abilene, TX",Oct 2003,10,2003,Oct 2003_0,-332333.91,-873915.5,522.55884,2304,92.847389,126.19634,1117860,32.48941,-99.707268,6.3933301,6.2882862,-.13459235,.00080448709,-.1050435,-.029548852
"Abilene, TX",Nov 2003,11,2003,Nov 2003_0,-332333.91,-873915.5,515.25269,2219,92.830429,126.17328,1061372.8,32.48941,-99.707268,6.3933301,6.2882862,-.1486724,.00080448709,-.1050435,-.043628898
"Abilene, TX",Dec 2003,12,2003,Dec 2003_0,-332333.91,-873915.5,515.47906,1343,94.875114,128.95238,656809.38,32.48941,-99.707268,6.3933301,6.2882862,-.14823323,.00080448709,-.1050435,-.04318973
"Abilene, TX",Jan 2004,1,2004,Jan 2004_0,-332333.91,-873915.5,529.7995,2521,91.535767,121.18636,1222574.3,32.48941,-99.707268,6.3933301,6.2882862,-.12083131,.00080448709,-.1050435,-.015787808
"Abilene, TX",Feb 2004,2,2004,Feb 2004_0,-332333.91,-873915.5,508.30331,2005,93.128113,123.29451,949113.44,32.48941,-99.707268,6.3933301,6.2882862,-.16225177,.00080448709,-.1050435,-.057208266
"Abilene, TX",Mar 2004,3,2004,Mar 2004_0,-332333.91,-873915.5,511.29688,2064,97.768822,129.43845,1031770.8,32.48941,-99.707268,6.3912334,6.28619,-.15428327,.00076104951,-.1050435,-.049239777
"Abilene, TX",Apr 2004,4,2004,Apr 2004_0,-332333.91,-873915.5,524.23486,2321,98.723206,130.70198,1201213.6,32.48941,-99.707268,6.3929877,6.2879443,-.13104813,.00067501061,-.1050435,-.026004633
"Abilene, TX",May 2004,5,2004,May 2004_0,-332333.91,-873915.5,552.54669,2237,100.12074,132.5522,1237539.3,32.48941,-99.707268,6.3920865,6.2870431,-.077548377,.00053675537,-.1050435,.027495125
"Abilene, TX",Jun 2004,6,2004,Jun 2004_0,-332333.91,-873915.5,536.53845,1463,104.94144,138.93445,823743.88,32.48941,-99.707268,6.3958788,6.2908354,-.11074063,.0007717401,-.1050435,-.0056971293
"Abilene, TX",Jul 2004,7,2004,Jul 2004_0,-332333.91,-873915.5,537.98633,1823,109.93494,145.54547,1078185.9,32.48941,-99.707268,6.3972802,6.2922368,-.10944723,.0011608009,-.1050435,-.0044037271
"Abilene, TX",Aug 2004,8,2004,Aug 2004_0,-332333.91,-873915.5,515.47461,1812,114.90569,152.12636,1073265.1,32.48941,-99.707268,6.3957548,6.2907114,-.15066674,.00073870458,-.1050435,-.045623239
"Abilene, TX",Sep 2004,9,2004,Sep 2004_0,-332333.91,-873915.5,529.38678,1628,110.71748,146.58148,954209.44,32.48941,-99.707268,6.3957548,6.2907114,-.12403539,.00073870458,-.1050435,-.018991886
"Abilene, TX",Oct 2004,10,2004,Oct 2004_0,-332333.91,-873915.5,555.12866,1393,106.16441,140.55356,820963.25,32.48941,-99.707268,6.3957548,6.2907114,-.076554805,.00073870458,-.1050435,.028488697
"Abilene, TX",Nov 2004,11,2004,Nov 2004_0,-332333.91,-873915.5,532.77631,925,106.31833,140.75734,523955.94,32.48941,-99.707268,6.3957548,6.2907114,-.1176534,.00073870458,-.1050435,-.012609896
"Abilene, TX",Dec 2004,12,2004,Dec 2004_0,-332333.91,-873915.5,524.53442,1428,105.84294,140.12798,792800.88,32.48941,-99.707268,6.3957548,6.2907114,-.13324359,.00073870458,-.1050435,-.028200088
"Abilene, TX",Jan 2005,1,2005,Jan 2005_0,-332333.91,-873915.5,545.73035,2212,107.88099,138.14575,1302291.3,32.48941,-99.707268,6.3957548,6.2907114,-.093629867,.00073870458,-.1050435,.011413637
"Abilene, TX",Feb 2005,2,2005,Feb 2005_0,-332333.91,-873915.5,539.38129,1428,107.35155,137.4678,826860.88,32.48941,-99.707268,6.3957548,6.2907114,-.10533193,.00073870458,-.1050435,-.00028842417
"Abilene, TX",Mar 2005,3,2005,Mar 2005_0,-332333.91,-873915.5,570.27148,1837,113.19533,144.95097,1185821.5,32.48941,-99.707268,6.3967013,6.2916579,-.050588526,.0004250679,-.1050435,.054454975
"Abilene, TX",Apr 2005,4,2005,Apr 2005_0,-332333.91,-873915.5,595.63531,2360,116.3108,148.94046,1634980.1,32.48941,-99.707268,6.3970089,6.2919655,-.0073806951,.00042193089,-.1050435,.097662807
"Abilene, TX",May 2005,5,2005,May 2005_0,-332333.91,-873915.5,570.78094,1899,117.83803,150.89613,1277261.8,32.48941,-99.707268,6.3968029,6.2917595,-.049797639,.00041653396,-.1050435,.055245861
"Abilene, TX",Jun 2005,6,2005,Jun 2005_0,-332333.91,-873915.5,573.37592,1587,116.19164,148.78787,1057283,32.48941,-99.707268,6.3997869,6.2947435,-.048245542,.0012745224,-.1050435,.056797959
